iter	MultiLogloss
0	0.6891073166
1	0.6850947339
2	0.6811509206
3	0.6772685886
4	0.6732947802
5	0.6695008413
6	0.6657716325
7	0.6620708284
8	0.6584538958
9	0.6548614588
10	0.650991718
11	0.6471697549
12	0.6437669744
13	0.640397351
14	0.6370853464
15	0.6335217462
16	0.6303174046
17	0.6271476676
18	0.6236671144
19	0.6205900462
20	0.6175689726
21	0.614581266
22	0.6116139379
23	0.6087229866
24	0.6058434973
25	0.6030261303
26	0.6002497758
27	0.5975231712
28	0.5948240618
29	0.5921664769
30	0.5895578131
31	0.5869763087
32	0.5844320246
33	0.581924361
34	0.5794284155
35	0.5769609611
36	0.5745647151
37	0.5721971873
38	0.5698422309
39	0.5675451426
40	0.5649272836
41	0.5626712836
42	0.5601220039
43	0.55793915
44	0.5557703216
45	0.5533309439
46	0.5512470303
47	0.549148277
48	0.5471221439
49	0.5451242684
50	0.5431541956
51	0.5411817293
52	0.5392629995
53	0.5373670554
54	0.5354843949
55	0.5336483255
56	0.5314984162
57	0.5296829466
58	0.5278856559
59	0.526113337
60	0.5243959444
61	0.5227044933
62	0.5209193503
63	0.5192704921
64	0.5176469129
65	0.5160420433
66	0.5144341144
67	0.5128716486
68	0.5113147276
69	0.5097935809
70	0.5082926355
71	0.5068115736
72	0.5050219095
73	0.5032830482
74	0.5018584945
75	0.5004351754
76	0.4990350438
77	0.4976680744
78	0.4963034484
79	0.4946396128
80	0.4933229134
81	0.4920226724
82	0.4904200203
83	0.4891488651
84	0.487677901
85	0.4864227782
86	0.484881958
87	0.4833660573
88	0.4821420841
89	0.4809672652
90	0.479807597
91	0.4786621503
92	0.4775310935
93	0.4764142091
94	0.4752974745
95	0.4742082709
96	0.4731298286
97	0.4720674906
98	0.4710182924
99	0.4696936602
100	0.4685721967
101	0.4675463371
102	0.4665485939
103	0.465561494
104	0.4642786646
105	0.4633149454
106	0.4620509391
107	0.4610676789
108	0.4601373049
109	0.4589252361
110	0.4577230022
111	0.4566909465
112	0.45575939
113	0.4548856207
114	0.4540201219
115	0.4531338818
116	0.4522886729
117	0.4514489183
118	0.4506074119
119	0.4497814932
120	0.4489585857
121	0.4481614029
122	0.4473604536
123	0.4464640808
124	0.4456939845
125	0.4446527341
126	0.4438708035
127	0.4430728281
128	0.4422994973
129	0.4412922849
130	0.4402958514
131	0.4395723253
132	0.4385847458
133	0.4378782012
134	0.4371902252
135	0.4364191164
136	0.4354768916
137	0.4347788565
138	0.4340980808
139	0.4334363902
140	0.43278545
141	0.4321217054
142	0.4314507089
143	0.4307997174
144	0.4301627631
145	0.4295352707
146	0.4289324846
147	0.4280707292
148	0.4274487897
149	0.4268653169
150	0.4260262794
151	0.42519806
152	0.4246330065
153	0.4240355415
154	0.423482433
155	0.4229077678
156	0.4223663952
157	0.4218307942
158	0.4213008895
159	0.4207766067
160	0.4202411945
161	0.4197268961
162	0.4192189003
163	0.4186900886
164	0.417931726
165	0.4171833611
166	0.4164503015
167	0.4159652565
168	0.4152392932
169	0.4145247367
170	0.413907247
171	0.4134442227
172	0.4129859619
173	0.4122752058
174	0.4117936931
175	0.4111693034
176	0.4104937739
177	0.4098292482
178	0.4091360897
179	0.4084715514
180	0.4078257195
181	0.4071855048
182	0.406745101
183	0.4060449408
184	0.405423179
185	0.4047268735
186	0.404105
187	0.4036990404
188	0.4032823456
189	0.4028940267
190	0.4022808466
191	0.401899834
192	0.4012996007
193	0.4007245101
194	0.4003112499
195	0.3997473367
196	0.3991806054
197	0.3986111178
198	0.3980592654
199	0.3976272684
200	0.3970890017
201	0.3965545892
202	0.396176873
203	0.3956265457
204	0.3950789601
205	0.3947115916
206	0.3941883421
207	0.393623731
208	0.3931086708
209	0.3926170807
210	0.3921197507
211	0.391690435
212	0.3911635422
213	0.3906595058
214	0.3903516524
215	0.3898554154
216	0.389382307
217	0.3888568642
218	0.3884009028
219	0.3879132318
220	0.3873987947
221	0.3869559403
222	0.3865196816
223	0.3860329301
224	0.3855194999
225	0.3850515913
226	0.3845476418
227	0.3841298799
228	0.3836160636
229	0.3832059592
230	0.3827072276
231	0.3823048499
232	0.3817964455
233	0.3815346209
234	0.3810244857
235	0.3805366152
236	0.3800284794
237	0.379587889
238	0.3791629564
239	0.3787351585
240	0.37824688
241	0.3777495492
242	0.3772163757
243	0.376681639
244	0.3762685535
245	0.3757764484
246	0.3753368031
247	0.3748976073
248	0.3744956354
249	0.3740947465
250	0.373629456
251	0.3731563204
252	0.3727153204
253	0.3722692843
254	0.371883252
255	0.371458848
256	0.3710201878
257	0.3705171673
258	0.3700997561
259	0.3697215973
260	0.3692570878
261	0.368831081
262	0.3684127364
263	0.3679866821
264	0.3675708258
265	0.3672151462
266	0.3668890082
267	0.3664894915
268	0.3660356556
269	0.3656172536
270	0.3652112496
271	0.3647851259
272	0.3644440973
273	0.3641066545
274	0.3636809584
275	0.3633060025
276	0.3629815287
277	0.362649277
278	0.3622338031
279	0.3617845293
280	0.3614437406
