iter	Passed	Remaining
0	230	230276
1	334	167110
2	388	129218
3	498	124185
4	557	111001
5	597	99036
6	613	87044
7	661	82050
8	705	77731
9	748	74097
10	795	71556
11	834	68728
12	887	67412
13	937	66002
14	977	64181
15	1042	64104
16	1089	63027
17	1120	61152
18	1168	60315
19	1184	58026
20	1214	56633
21	1227	54576
22	1273	54116
23	1318	53617
24	1357	52936
25	1371	51395
26	1381	49780
27	1409	48915
28	1450	48565
29	1464	47352
30	1506	47097
31	1522	46047
32	1535	44992
33	1553	44129
34	1585	43707
35	1666	44638
36	1726	44941
37	1745	44197
38	1791	44142
39	1841	44191
40	1878	43944
41	1970	44949
42	2023	45044
43	2104	45729
44	2191	46515
45	2287	47448
46	2314	46930
47	2380	47220
48	2396	46507
49	2432	46211
50	2457	45737
51	2585	47129
52	2656	47464
53	2836	49699
54	2932	50391
55	2980	50236
56	3012	49844
57	3070	49876
58	3103	49499
59	3239	50755
60	3292	50680
61	3327	50347
62	3410	50728
63	3430	50172
64	3465	49846
65	3480	49251
66	3523	49062
67	3537	48479
68	3599	48571
69	3630	48231
70	3661	47914
71	3669	47293
72	3731	47390
73	3888	48657
74	3921	48370
75	3964	48197
76	4028	48285
77	4089	48336
78	4132	48182
79	4185	48132
80	4214	47813
81	4229	47349
82	4273	47214
83	4337	47296
84	4428	47675
85	4474	47553
86	4564	47897
87	4635	48039
88	4739	48514
89	4773	48261
90	4852	48474
91	4868	48050
92	4886	47661
93	4900	47229
94	4963	47283
95	4978	46876
96	5020	46740
97	5038	46371
98	5050	45962
99	5157	46421
100	5205	46332
101	5251	46237
102	5280	45983
103	5291	45592
104	5418	46184
105	5459	46044
106	5524	46102
107	5661	46759
108	5723	46784
109	5772	46704
110	5831	46707
111	5950	47176
112	6007	47156
113	6052	47036
114	6078	46775
115	6115	46602
116	6130	46268
117	6170	46120
118	6230	46125
119	6316	46323
120	6370	46276
121	6388	45977
122	6427	45831
123	6514	46019
124	6537	45764
125	6600	45781
126	6640	45644
127	6812	46409
128	6957	46976
129	7055	47219
130	7104	47130
131	7155	47050
132	7249	47260
133	7311	47255
134	7326	46944
135	7370	46823
136	7440	46870
137	7488	46777
