iter	Passed	Remaining
0	195	195718
1	244	122238
2	277	92212
3	307	76610
4	367	73141
5	412	68376
6	442	62819
7	559	69325
8	645	71056
9	721	71449
10	802	72130
11	845	69572
12	875	66496
13	1002	70607
14	1185	77874
15	1259	77484
16	1389	80333
17	1479	80708
18	1542	79631
19	1651	80940
20	1707	79621
21	1776	78959
22	1803	76615
23	1883	76591
24	1906	74369
25	1923	72044
26	2039	73486
27	2108	73180
28	2200	73694
29	2348	75928
30	2408	75284
31	2503	75729
32	2625	76928
33	2678	76092
34	2692	74239
35	2741	73419
36	2785	72508
37	2943	74513
38	3023	74504
39	3095	74293
40	3125	73097
41	3140	71629
42	3156	70246
43	3202	69579
44	3273	69462
45	3341	69301
46	3535	71681
47	3604	71494
48	3682	71468
49	3810	72393
50	3850	71652
51	3867	70508
52	3951	70602
53	4100	71826
54	4141	71166
55	4265	71907
56	4296	71088
57	4385	71229
58	4448	70947
59	4467	69984
60	4605	70901
61	4637	70154
62	4676	69550
63	4730	69184
64	4915	70702
65	4959	70190
66	5024	69966
67	5131	70326
68	5283	71284
69	5314	70603
70	5441	71196
71	5605	72252
72	5720	72643
73	5776	72280
74	5790	71420
75	5839	70998
76	5902	70754
77	5992	70837
78	6085	70951
79	6113	70307
80	6153	69815
81	6175	69130
82	6290	69498
83	6355	69307
84	6376	68641
85	6407	68098
86	6472	67922
87	6565	68044
88	6592	67484
89	6631	67055
90	6653	66464
91	6692	66054
92	6742	65754
93	6761	65173
94	6812	64895
95	6939	65346
96	7061	65736
97	7132	65652
98	7179	65345
99	7212	64908
100	7227	64332
101	7293	64215
102	7319	63743
103	7358	63397
104	7449	63494
105	7474	63038
106	7489	62509
107	7596	62737
108	7628	62356
109	7667	62039
110	7713	61778
111	7768	61591
112	7799	61220
113	7919	61546
114	7953	61209
115	8071	61509
116	8126	61334
117	8280	61893
118	8371	61976
119	8530	62555
120	8720	63346
121	8756	63019
122	8786	62649
123	8930	63089
124	8992	62950
125	9068	62906
126	9251	63592
127	9311	63432
128	9390	63407
129	9525	63747
130	9592	63631
131	9672	63604
132	9700	63235
133	9715	62789
134	9832	63000
135	9869	62701
136	9885	62271
137	9999	62462
138	10089	62497
139	10227	62827
140	10295	62723
141	10343	62495
142	10419	62445
143	10457	62165
144	10512	61987
145	10550	61715
146	10566	61316
147	10598	61013
148	10713	61190
149	10848	61474
150	10909	61338
151	10964	61169
152	11074	61308
153	11122	61103
154	11241	61284
155	11438	61885
156	11477	61630
157	11617	61910
158	11714	61962
159	11878	62360
160	11958	62316
161	12105	62619
162	12237	62837
163	12384	63133
164	12418	62847
165	12597	63293
166	12702	63360
167	12772	63254
168	12882	63344
169	12998	63465
170	13174	63871
171	13219	63637
172	13258	63382
173	13369	63468
