iter	MultiLogloss
0	0.6883220202
1	0.6836249472
2	0.679187893
3	0.6746527819
4	0.670069906
5	0.6654921819
6	0.6611775151
7	0.6569634442
8	0.6526538776
9	0.6483627124
10	0.6441796762
11	0.6401111078
12	0.6360369521
13	0.6319745683
14	0.6279949974
15	0.6239471613
16	0.6200810565
17	0.6163326223
18	0.612741249
19	0.609109858
20	0.6054061366
21	0.6017605097
22	0.598211494
23	0.5948048517
24	0.5915902263
25	0.5882202006
26	0.5848565063
27	0.5816266617
28	0.5783504244
29	0.5751594933
30	0.5719680744
31	0.5687976386
32	0.5657215947
33	0.5627092996
34	0.5596830136
35	0.5568154903
36	0.5539637988
37	0.5511082286
38	0.5482662143
39	0.5455870359
40	0.5428550297
41	0.5401722646
42	0.537512131
43	0.534813993
44	0.5321736235
45	0.5296468228
46	0.5269916878
47	0.5244059112
48	0.5219960953
49	0.5195122343
50	0.5171814612
51	0.5147875717
52	0.5124831609
53	0.5101626936
54	0.5078615665
55	0.5056448082
56	0.5034597035
57	0.5012001369
58	0.4989467138
59	0.4967738615
60	0.4947139785
61	0.4926312976
62	0.4905804321
63	0.4885725264
64	0.4866398847
65	0.4846441145
66	0.482761077
67	0.4807760184
68	0.4788296102
69	0.4769497953
70	0.4750601502
71	0.473252184
72	0.4714718541
73	0.4696346471
74	0.4678557193
75	0.4660556705
76	0.4643207175
77	0.462677741
78	0.4609863673
79	0.4593050706
80	0.457605438
81	0.45598752
82	0.454375527
83	0.4527629205
84	0.4512045548
85	0.4495380205
86	0.4479470149
87	0.4464352326
88	0.4449275576
89	0.443401861
90	0.4419185625
91	0.4404237523
92	0.4389707768
93	0.4375166406
94	0.436061405
95	0.4346943111
96	0.4333412945
97	0.4319534214
98	0.4305572911
99	0.429299511
100	0.4279813876
101	0.4266485474
102	0.4254139258
103	0.4241007426
104	0.4228744652
105	0.4216198517
106	0.4203920351
107	0.4191583284
108	0.4179885327
109	0.4167761454
110	0.4155993826
111	0.4144131299
112	0.4132207121
113	0.4120903115
114	0.4109604197
115	0.4098671026
116	0.4087281645
117	0.4075776504
118	0.4065212861
119	0.4053936245
120	0.4043613841
121	0.403300962
122	0.4022747434
123	0.4012224663
124	0.4001563263
125	0.3991369101
126	0.3981412653
127	0.3971546859
128	0.396184403
129	0.3952056456
130	0.3942226203
131	0.3932825537
132	0.3923395487
133	0.3914165791
