iter	Passed	Remaining
0	1	1962
1	4	2101
2	6	2086
3	8	2055
4	10	2056
5	12	2060
6	14	2066
7	16	2072
8	19	2096
9	21	2104
10	23	2103
11	25	2099
12	27	2094
13	29	2049
14	31	2039
15	31	1954
16	34	1970
17	36	1971
18	38	1969
19	40	1971
20	41	1928
21	43	1923
22	45	1925
23	47	1930
24	49	1936
25	51	1931
26	53	1930
27	55	1932
28	57	1931
29	59	1932
30	61	1928
31	63	1932
32	65	1932
33	68	1933
34	70	1931
35	72	1928
36	74	1927
37	76	1924
38	78	1922
39	80	1920
40	81	1916
41	84	1917
42	85	1913
43	87	1910
44	89	1909
45	91	1906
46	92	1880
47	93	1861
48	95	1860
49	97	1859
50	100	1861
51	102	1863
52	104	1862
53	105	1852
54	107	1850
55	109	1849
56	111	1848
57	113	1846
58	115	1845
59	117	1844
60	119	1843
61	121	1842
62	123	1839
63	125	1837
64	127	1835
65	129	1833
66	131	1831
67	133	1830
68	135	1828
69	137	1826
70	139	1827
71	141	1825
72	143	1824
73	145	1824
74	147	1823
75	149	1816
76	151	1816
77	153	1815
78	155	1813
79	157	1812
80	159	1811
81	161	1812
82	164	1813
83	166	1813
84	168	1812
85	170	1811
86	172	1810
87	174	1810
88	176	1810
89	179	1810
90	181	1810
91	182	1805
92	185	1804
93	187	1804
94	189	1802
95	191	1802
96	193	1803
97	195	1803
98	197	1797
99	199	1796
100	201	1796
101	202	1785
102	204	1785
103	206	1777
104	208	1780
105	211	1782
106	213	1784
107	216	1784
108	218	1783
109	220	1783
110	222	1785
111	225	1785
112	227	1785
113	229	1785
114	232	1786
115	234	1784
116	236	1784
117	238	1785
118	240	1783
119	243	1782
120	245	1781
121	246	1771
122	248	1769
123	250	1768
124	252	1767
125	254	1766
126	256	1765
127	259	1765
128	261	1764
129	262	1754
130	264	1753
131	266	1752
132	268	1752
133	271	1751
134	273	1750
135	275	1750
136	276	1742
137	277	1732
138	278	1724
139	280	1723
140	282	1722
141	285	1722
142	287	1721
143	289	1720
144	291	1718
145	293	1717
146	295	1717
147	298	1717
148	300	1716
149	302	1715
150	305	1714
151	307	1714
152	309	1711
153	311	1709
154	313	1708
155	315	1707
